,revenue,operating_income,net_income,operating_cashflow,total_assets,total_liabilities,profit_margin,operating_margin,revenue_growth,net_income_growth,asset_efficiency,debt_to_asset
revenue,1.0,0.7707650142088631,0.7681314953404139,0.8825189672193192,0.6696654673103071,0.6662366293572165,0.03748270284626603,0.004988726696503492,0.538092891909602,0.2825944545326731,0.3387928465193083,0.24410390037544819
operating_income,0.7707650142088631,1.0,0.9914713203053749,0.9558588107001872,0.5728546151205349,0.5371504111374765,0.4020804589378795,0.37526031990203396,0.4850039242687896,0.26291670140870316,0.18819406110278222,0.1338159366347335
net_income,0.7681314953404139,0.9914713203053749,1.0,0.9593806727884583,0.5870032522848718,0.5271652036997231,0.41128063651360264,0.36600992026372303,0.46731219943947877,0.2626637708935938,0.1754988110755797,0.1126177364094031
operating_cashflow,0.8825189672193192,0.9558588107001872,0.9593806727884583,1.0,0.6375277782082721,0.5616436996165404,0.3203409102401702,0.27979073844174607,0.5419562376337141,0.2884196660489766,0.2363224706245698,0.10781215334153701
total_assets,0.6696654673103071,0.5728546151205349,0.5870032522848718,0.6375277782082721,1.0,0.8802268794356147,0.26020256436633443,0.1904268204399652,0.035186820305364915,0.0580386872490199,-0.16997822379729355,0.15403274969900446
total_liabilities,0.6662366293572165,0.5371504111374765,0.5271652036997231,0.5616436996165404,0.8802268794356147,1.0,0.09094141947924506,0.057326540357583125,0.04447610325439868,0.05490198526458863,-0.05317537714614187,0.4802740972993567
profit_margin,0.03748270284626603,0.4020804589378795,0.41128063651360264,0.3203409102401702,0.26020256436633443,0.09094141947924506,1.0,0.9769480782226782,-0.027617285106975482,0.08883358436093115,-0.4420581474610319,-0.5632226266392635
operating_margin,0.004988726696503492,0.37526031990203396,0.36600992026372303,0.27979073844174607,0.1904268204399652,0.057326540357583125,0.9769480782226782,1.0,-0.019557694835366887,0.07887047304209699,-0.4359602261467727,-0.5639180810696155
revenue_growth,0.538092891909602,0.4850039242687896,0.46731219943947877,0.5419562376337141,0.035186820305364915,0.04447610325439868,-0.027617285106975482,-0.019557694835366887,1.0,0.5098115464558587,0.7426157030350473,0.0541823227617957
net_income_growth,0.2825944545326731,0.26291670140870316,0.2626637708935938,0.2884196660489766,0.0580386872490199,0.05490198526458863,0.08883358436093115,0.07887047304209699,0.5098115464558587,1.0,0.36745711751275983,-0.00014060718880202136
asset_efficiency,0.3387928465193083,0.18819406110278222,0.1754988110755797,0.2363224706245698,-0.16997822379729355,-0.05317537714614187,-0.4420581474610319,-0.4359602261467727,0.7426157030350473,0.36745711751275983,1.0,0.42183641570585717
debt_to_asset,0.24410390037544819,0.1338159366347335,0.1126177364094031,0.10781215334153701,0.15403274969900446,0.4802740972993567,-0.5632226266392635,-0.5639180810696155,0.0541823227617957,-0.00014060718880202136,0.42183641570585717,1.0
