Feature1,Feature2,Correlation
id,revenue,0.984
id,operating_income,0.9817
id,net_income,0.974
id,operating_cashflow,0.972
id,total_assets,0.9482
id,total_liabilities,0.9272
id,profit_margin,0.7803
id,operating_margin,0.98
id,debt_to_asset,-0.9373
revenue,operating_income,0.9992
revenue,net_income,0.9837
revenue,operating_cashflow,0.9939
revenue,total_assets,0.9778
revenue,total_liabilities,0.9303
revenue,profit_margin,0.7459
revenue,operating_margin,0.9529
revenue,debt_to_asset,-0.9637
operating_income,net_income,0.9861
operating_income,operating_cashflow,0.9962
operating_income,total_assets,0.9768
operating_income,total_liabilities,0.9287
operating_income,profit_margin,0.7533
operating_income,operating_margin,0.9563
operating_income,debt_to_asset,-0.9632
net_income,operating_cashflow,0.9806
net_income,total_assets,0.9457
net_income,total_liabilities,0.8963
net_income,profit_margin,0.8502
net_income,operating_margin,0.9667
net_income,debt_to_asset,-0.9587
operating_cashflow,total_assets,0.9836
operating_cashflow,total_liabilities,0.9444
operating_cashflow,profit_margin,0.7435
operating_cashflow,operating_margin,0.9465
operating_cashflow,debt_to_asset,-0.9456
total_assets,total_liabilities,0.9699
total_assets,operating_margin,0.8928
total_assets,debt_to_asset,-0.9133
total_liabilities,operating_margin,0.8728
total_liabilities,debt_to_asset,-0.8095
profit_margin,operating_margin,0.8388
profit_margin,debt_to_asset,-0.7516
operating_margin,debt_to_asset,-0.917
